
****** xsim v2026.1 (64-bit)
  **** SW Build 6511674 on Tue Jun 16 11:02:23 MDT 2026
  **** IP Build 6504888 on Tue Jun 09 09:05:25 MDT 2026
  **** SharedData Build 6501428 on Mon Jun 08 17:34:18 MDT 2026
  **** Start of session at: Wed Aug 26 09:31:16 2026
    ** Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
    ** Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.

source xsim.dir/e2r_cdc_ar_xsim/xsim_script.tcl
# xsim {e2r_cdc_ar_xsim} -autoloadwcfg -runall
Time resolution is 1 ps
run -all
E2R-CDC-AR-XSIM-00 F1f START m_period=80ns s_period=10ns window=50
T=5000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=965000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=975000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=985000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=995000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1000000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1005000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1015000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1025000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1035000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1045000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1055000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1065000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1075000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1080000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1085000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1095000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1105000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1115000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1125000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1135000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1145000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1155000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1160000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1165000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1175000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1185000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1195000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1205000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1215000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1225000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1235000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1240000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1245000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1255000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1265000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1275000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1285000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1295000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1305000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1315000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1320000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1325000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1335000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1345000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1355000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1365000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1375000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1385000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1395000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1400000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1405000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1415000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1425000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1435000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1445000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1455000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1465000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1475000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1480000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1485000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1495000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1505000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1515000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1525000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1535000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1545000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1555000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1560000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1565000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1575000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1585000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1595000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1605000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1615000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1625000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1635000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1640000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1645000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1655000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1665000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1675000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1685000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1695000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1705000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1715000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1720000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1725000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1735000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1745000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1755000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1765000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1775000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1785000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1795000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1800000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1805000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1815000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1825000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1835000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1845000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1855000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1865000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1875000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1880000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1885000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1895000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1905000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1915000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1925000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=1935000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
